dataset,episode_id,task,mode,mode_label,level,duration_sec,duration_bucket_abs,task_progress,mean_l2,task_success
DROID,1356,Put the blue box into the carrier bag,task_token_only,original,L1,6.533333333333333,0-30s,0.9,0.1234093444875373,True
DROID,1121,Turn on the fourth switch from the right on the adapter,task_token_only,original,L1,6.866666666666666,0-30s,0.9,0.10995079035204576,True
DROID,1692,Put the carrot plushie in the pan,task_token_only,original,L1,7.133333333333334,0-30s,0.7,0.08935912881938524,True
DROID,1245,Move the orange plushie to the right,task_token_only,original,L1,8.2,0-30s,0.9,0.16461010823901598,True
DROID,1530,Put the plush toy in the red bowl,task_token_only,original,L1,7.6,0-30s,0.8,0.12201270001207472,True
DROID,1374,Press the power button on the extension cord.,task_token_only,original,L1,8.266666666666667,0-30s,0.9,0.09832359874099039,True
DROID,1608,Press the middle white key on the keyboard,task_token_only,original,L1,7.266666666666667,0-30s,0.8,0.0872823156646878,True
DROID,1328,Press the top switch on the stove,task_token_only,original,L1,9.0,0-30s,0.7,0.037545130875915406,True
DROID,1071,Push the right switch down,task_token_only,original,L1,6.2,0-30s,0.8,0.12638301073413072,True
DROID,1727,Put the purple plush toy on the bowl,task_token_only,original,L1,5.133333333333334,0-30s,0.7,0.06322112738963655,True
DROID,1510,Press down the sauce sachet,task_token_only,original,L1,8.866666666666667,0-30s,0.7,0.10329765517336376,True
DROID,1682,Put the book in the green bowl,task_token_only,original,L1,8.133333333333333,0-30s,0.4,0.084821892990538,False
DROID,1643,Close the grill sandwich maker,task_token_only,original,L1,8.466666666666667,0-30s,0.4,0.11024506295892167,False
DROID,1748,Put the green plushie on the orange plate,task_token_only,original,L1,6.133333333333334,0-30s,0.9,0.06482985373522375,True
DROID,1247,Move the cup backwards,task_token_only,original,L1,6.0,0-30s,0.7,0.07483523138839855,True
DROID,1042,Put the pen inside the white bowl,task_token_only,original,L1,7.333333333333333,0-30s,0.9,0.07930781929820135,True
DROID,1486,Take the marker out of the cup and put it on the table,task_token_only,original,L1,9.933333333333334,0-30s,0.7,0.11296568474868378,True
DROID,1090,Move the paper to the left,task_token_only,original,L1,7.466666666666667,0-30s,0.7,0.11300779776685198,True
DROID,1852,Put the marker in the mug,task_token_only,original,L1,8.666666666666666,0-30s,0.4,0.15865520529857458,False
DROID,1478,Remove the black spoon from the cutlery box,task_token_only,original,L1,10.0,0-30s,0.7,0.14028226485038062,True
