dataset,episode_id,task,mode,mode_label,level,duration_sec,duration_bucket_abs,task_progress,mean_l2,task_success
DROID,1356,Put the blue box into the carrier bag,task_token_only,original,L1,6.533333333333333,0-30s,0.9,0.1234093444875373,True
DROID,1356,Put the blue box into the carrier bag,dual_llm,llm_dual,L1,6.533333333333333,0-30s,0.9,0.07930095314240869,True
DROID,1356,Put the blue box into the carrier bag,val_llm,llm_val,L1,6.533333333333333,0-30s,0.9,0.0825054628595394,True
DROID,1121,Turn on the fourth switch from the right on the adapter,task_token_only,original,L1,6.866666666666666,0-30s,0.9,0.10995079035204576,True
DROID,1121,Turn on the fourth switch from the right on the adapter,dual_llm,llm_dual,L1,6.866666666666666,0-30s,0.9,0.11541506161100328,True
DROID,1121,Turn on the fourth switch from the right on the adapter,val_llm,llm_val,L1,6.866666666666666,0-30s,0.9,0.13711248688426383,True
DROID,1692,Put the carrot plushie in the pan,task_token_only,original,L1,7.133333333333334,0-30s,0.7,0.08935912881938524,True
DROID,1692,Put the carrot plushie in the pan,dual_llm,llm_dual,L1,7.133333333333334,0-30s,0.9,0.10007812246428766,True
DROID,1692,Put the carrot plushie in the pan,val_llm,llm_val,L1,7.133333333333334,0-30s,0.9,0.1092666722921246,True
DROID,1245,Move the orange plushie to the right,task_token_only,original,L1,8.2,0-30s,0.9,0.16461010823901598,True
DROID,1245,Move the orange plushie to the right,dual_llm,llm_dual,L1,8.2,0-30s,0.4,0.07722033335144622,False
DROID,1245,Move the orange plushie to the right,val_llm,llm_val,L1,8.2,0-30s,0.9,0.08852650364478983,True
DROID,1530,Put the plush toy in the red bowl,task_token_only,original,L1,7.6,0-30s,0.8,0.12201270001207472,True
DROID,1530,Put the plush toy in the red bowl,dual_llm,llm_dual,L1,7.6,0-30s,0.9,0.14544369946247498,True
DROID,1530,Put the plush toy in the red bowl,val_llm,llm_val,L1,7.6,0-30s,0.9,0.14589861266925286,True
DROID,1374,Press the power button on the extension cord.,task_token_only,original,L1,8.266666666666667,0-30s,0.9,0.09832359874099039,True
DROID,1374,Press the power button on the extension cord.,dual_llm,llm_dual,L1,8.266666666666667,0-30s,0.9,0.06235229691121511,True
DROID,1374,Press the power button on the extension cord.,val_llm,llm_val,L1,8.266666666666667,0-30s,0.9,0.05725733633980853,True
DROID,1608,Press the middle white key on the keyboard,task_token_only,original,L1,7.266666666666667,0-30s,0.8,0.0872823156646878,True
DROID,1608,Press the middle white key on the keyboard,dual_llm,llm_dual,L1,7.266666666666667,0-30s,0.4,0.10994904508332988,False
