episode_id	ep_len	task
1013	172	Put the right yellow toy in the bowl
1027	160	Put the brown object on the closest ribbon roll
1037	150	Move the mug to the right
1103	163	Open the second to last right role bottom drawer
1108	166	Move the white mug to the right.
1127	125	Move the bottom-right clear bottle to the table
1129	161	Close the book
1133	163	Put the green thing into the bowl
1159	135	Move the blue bowl of candy to the right
1176	170	Put the red cup on the red plate
1250	145	Move the mug forward.
1261	160	Move the white box to the right
1273	130	Move the blue sponge forwards
1346	149	Remove the marker from the green bowl and put it in the table
1349	154	Move the objects on the score counter to the right
1374	124	Press the power button on the extension cord.
1376	173	Put the blue marker from the clear container on the right into the black mug.
1399	131	Put the marker in the mug
1400	135	Put the top wooden piece on the table
1424	134	Put the marker in the silver pot
1428	146	Put the pen in the cup
1432	171	Pick the marker and put it in the bowl
1452	152	Remove the spoon out of the glass cup
1477	145	Pick the marker from the table and put it in the cup
1510	133	Press down the sauce sachet
1566	133	Press a button on the left washing machine
1571	175	Move the bottle from the cup to the table
1591	128	Put the screwdriver in the open drawer then close the drawer
1613	176	Close the door.
1630	132	Move the clear object to the bottom-right corner of the table
1643	127	Close the grill sandwich maker
1683	136	Take the pen out of the cup and put it on the table
1687	144	Pick up the gray bowl and put it in the white crisper drawer that is in the sink
1709	162	Put the blue block inside the open drawer then close the drawer
1712	124	Put the plastic jar in an upright position
1714	162	Put the can on the metal object
1719	158	Put the towel on the bin
1730	175	Open the bottom drawer of the right cabinet
1743	173	Turn off the light switch
1759	138	Remove the blue cup from the pink cup and put it on the table
1790	144	Put the green block in the black bowl
1817	158	Put the small purple bowl into the yellow bowl
1840	162	Pick up the yellow toy close to the edge and put it in the green bowl
1852	130	Put the marker in the mug
1888	150	Pick up the pen from the table and put it in the grey bowl.
1893	138	Put the marker in the bowl
1906	156	Put the marker inside the cup
1917	164	Press the on/off button on the coffee machine.
1919	139	Move the yellow sponge from the black bowl and place it on the open drawer
1989	159	Press a button on the remote control.
